cardioVascularSystem.heart.atriopeptin.hormoneFlowConstant.k;pmol/min
cardioVascularSystem.heart.atriopeptin.hormoneFlowConstant1.k;pmol/min
cardioVascularSystem.heart.atriopeptin.integrator.y_start;pmol/min
cardioVascularSystem.heart.atriopeptin.integrator1.y_start;pmol/l
cardioVascularSystem.systemicCirculation.peripheral.kidney.ANP_Effect.Xscale;pmol/l
cardioVascularSystem.heart.atriopeptin.ANPPool.solute_start;pmol
cardioVascularSystem.bloodProperties.Hb.k;mmol/l
cardioVascularSystem.bloodProperties.DPG.k;mmol/l
cardioVascularSystem.heart.leftVentricle.additionalPressure_Systolic;mmHg
cardioVascularSystem.heart.rightVentricle.additionalPressure_Systolic;mmHg
cardioVascularSystem.pulmonaryCirculation.lungBloodFlow.LeftHemithorax_Pressure;mmHg
cardioVascularSystem.pulmonaryCirculation.lungBloodFlow.RightHemithorax_Pressure;mmHg
cardioVascularSystem.pulmonaryCirculation.lungBloodFlow.Thorax_PressureGradientOnFlowDist.Xscale;mmHg
cardioVascularSystem.pulmonaryCirculation.lungBloodFlow.Thorax_PressureOnInflationL.Xscale;mmHg
cardioVascularSystem.pulmonaryCirculation.lungBloodFlow.Thorax_PressureOnInflationR.Xscale;mmHg
cardioVascularSystem.systemicCirculation.leftCororaryCirculation.PO2Effect.Xscale;mmHg
cardioVascularSystem.systemicCirculation.leftCororaryCirculation.Vasculature.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.bone.Vasculature_Bone.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.brain.PCO2OnTension.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.brain.PO2OnTension.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.brain.Vasculature_Brain.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.fat.Vasculature_Fat.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.kidney.AfferentArtery.InitialPressureChange;mmHg
cardioVascularSystem.systemicCirculation.peripheral.kidney.AfferentArtery.kidneyMyogenic.initialPressure;mmHg
cardioVascularSystem.systemicCirculation.peripheral.kidney.AfferentArtery.PressureChangeOnCondEffect.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.otherTissue.PO2OnConductance_OtherTissue.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.otherTissue.Vasculature_OtherTissue.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.respiratoryMuscle.PO2Effect.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.respiratoryMuscle.Vasculature.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.skeletalMuscle.PO2Effect.Xscale;mmHg
cardioVascularSystem.systemicCirculation.peripheral.skeletalMuscle.Vasculature_skeletalMuscle.Xscale;mmHg
cardioVascularSystem.systemicCirculation.rightCororaryCirculation.PO2Effect.Xscale;mmHg
cardioVascularSystem.systemicCirculation.rightCororaryCirculation.Vasculature.Xscale;mmHg
cardioVascularSystem.systemicCirculation.splanchnicCirculation.GITract.PO2OnConductance.Xscale;mmHg
cardioVascularSystem.systemicCirculation.splanchnicCirculation.GITract.Vasculature.Xscale;mmHg
cardioVascularSystem.systemicCirculation.leftCororaryCirculation.MetabolismEffect.Xscale;ml_STP/min
cardioVascularSystem.systemicCirculation.peripheral.respiratoryMuscle.MetabolismEffect.Xscale;ml_STP/min
cardioVascularSystem.systemicCirculation.peripheral.skeletalMuscle.metabolicVasolidation.Xscale;ml_STP/min
cardioVascularSystem.systemicCirculation.rightCororaryCirculation.MetabolismEffect.Xscale;ml_STP/min
cardioVascularSystem.heart.LeftAtriumCompliance.k;ml/mmHg
cardioVascularSystem.heart.leftVentricle.BasicCompliance;ml/mmHg
cardioVascularSystem.heart.leftVentricle.MaxContractionCompliance;ml/mmHg
cardioVascularSystem.heart.RightAtriumCompliance.k;ml/mmHg
cardioVascularSystem.heart.rightVentricle.BasicCompliance;ml/mmHg
cardioVascularSystem.heart.rightVentricle.MaxContractionCompliance;ml/mmHg
cardioVascularSystem.pulmonaryCirculation.ArtysCompliance.k;ml/mmHg
cardioVascularSystem.pulmonaryCirculation.CapysCompliance.k;ml/mmHg
cardioVascularSystem.pulmonaryCirculation.VeinsCompliance.k;ml/mmHg
cardioVascularSystem.systemicCirculation.splanchnicCirculation.Compliance.k;ml/mmHg
cardioVascularSystem.systemicCirculation.SystemicArtysCompliance.k;ml/mmHg
cardioVascularSystem.systemicCirculation.SystemicVeinsCompliance.k;ml/mmHg
cardioVascularSystem.redCells.RBCBaseSecretionRate.k;ml/min
cardioVascularSystem.heart.leftVentricle.Cond1;ml/(mmHg.min)
cardioVascularSystem.heart.leftVentricle.Cond2;ml/(mmHg.min)
cardioVascularSystem.heart.rightVentricle.Cond1;ml/(mmHg.min)
cardioVascularSystem.heart.rightVentricle.Cond2;ml/(mmHg.min)
cardioVascularSystem.pulmonaryCirculation.pulmArtyConductance.Conductance;ml/(mmHg.min)
cardioVascularSystem.pulmonaryCirculation.pulmCapysConductance.Conductance;ml/(mmHg.min)
cardioVascularSystem.pulmonaryCirculation.pulmVeinsConductance.Conductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.leftCororaryCirculation.BasicLargeVeselsConductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.leftCororaryCirculation.BasicSmallVeselsConductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.legsArtys.Conductance;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.bone.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.brain.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.fat.BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.kidney.Afferent_BasicConductance.k;ml/(mmHg.min)
cardioVascularSystem.systemicCirculation.peripheral.kidney.ArcuateArtery.Conductance;ml/(mmHg.min)
