A2Pool.Log10Conc;Decimal logarithm of angiotensin 2 extracelular concentration.
ADHPool.[ADH];Vasopressin extracellular concentration.
ADHPool.Log10Conc;Decimal logarithm of vasopressin concentration.
AdrenalNerve.NA;Nerve activity of adrenal nerve.
AirSupply-InspiredAir.Pressure;Air pressure.
AldoPool.[Aldo(nG/dL)];Body aldosterone concentration.
AldoPool.[Aldo(pMol/L)];Body aldosterone concentration.
AlphaBlockade.Effect;Effect of alpha blocators.
AlphaPool.Effect;Humoral and neural effect on alpha receptor stimulation.
Anesthesia.TidalVolume;Anesthesia gas tidal volume.
Anesthesia.VascularConductance;Anesthesia tension effect on vascular conductance in some tissues.
ANPPool.Log10Conc;Decimal logarithm of atrial natriuretic peptide concentration.
ArtysVol.Vol;Volume of oxygenated blood in body.
Barometer.Pressure;Ambient environment pressure.
BetaBlockade.Effect;Effect of beta blocators.
BetaPool.Effect;Humoral and neural effect on beta receptor stimulation.
BladderVolume.Mass;Urine volume in bladder.
BladderVoidFlow;Urination flow.
BloodIons.Cations;Sum of all cations concentrations in blood.
BloodIons.Protein;concentration of nonbicarbonate buffers in anion forms.
BloodPh.ArtysPh;Acidity (pH) of arterial blood.
BloodPh.ArtysPh;Acidity (pH) of arterial blood.
BloodVol.Hct;Heamatocrit = red cells / blood.
BloodVol.PVCrit;Plasma volume fraction = plasma / blood.
BodyH2O.Vol;Body water volume.
Bone-CO2.OutflowBase;Bone carbondioxyde outflow from cells metabolism.
Bone-Flow.BloodFlow;Bone blood flow.
Bone-Flow.O2Use;Bone oxygen consumption.
Bone-Flow.PO2;Partial oxygen pressure in bone blood venules.
Bone-Fuel.FractUseDelay;Bone deficiency of nutrients needed by cells metabolism.
Bone-Lactate.[Lac-(mEq/L)];Bone intracellular lactate concentration.
Bone-Lactate.Outflux;Lactate flow from bone cells.
Bone-Ph.Ph;Acidity (pH) in bone cells.
Bone-Size.IFV;Bone interstitial water volume.
Bone-Size.LiquidVol;Bone water volume = sum of bone interstitial and bone intracellular water.
Bone-Structure.Effect;Bone tissue structural damage effect.
Brain-CO2.OutflowBase;Brain carbondioxyde outflow from cells metabolism.
Brain-CO2.PCO2;Partial carbondioxyde pressure in brain venules.
Brain-Flow.BloodFlow;Brain blood flow.
Brain-Flow.O2Use;Brain oxygen consumption.
Brain-Flow.PO2;Partial oxygen pressure in brain blood venules.
Brain-Fuel.FractUseDelay;Brain deficiency of nutrients needed by cells metabolism.
Brain-Function.Effect;Brain tissue function effect.
Brain-Lactate.[Lac-(mEq/L)];Brain intracellular lactate concentration.
Brain-Lactate.Outflux;Lactate flow from brain cells.
Brain-Ph.Ph;Acidity (pH) in brain cells.
Brain-Size.IFV;Brain interstitial water volume.
Brain-Size.LiquidVol;Brain water volume = sum of brain interstitial and brain intracellular water.
Brain-Structure.Effect;Brain tissue structural damage effect.
Breathing.TotalVentilation;Gas exchange rate through perfused alveoli.
CardiacOutput.Flow;Cardiac output.
Hydrostatics.CarotidCM;Height of carotid sinus above heart level.
