PotassiumToCells;KCell.Change
Urine_pH;Urine_pH
Urine_pH-Ikeda-Delayed;Urine_pH-Ikeda-Delayed
BladderVoidFlow;BladderVoidFlow
pCO;pCO
FMetHb;FMetHb
FHbF;FHbF
ctAlb;ctAlb
cDPG;cDPG
ctHb;ctHb
ctHb_ery;ctHb_ery
ctGlb;ctGlb
DT_AldosteroneEffect;DT_AldosteroneEffect
A2Pool_Log10Con;A2Pool.Log10Conc
A2Pool_Log10Conc;A2Pool.Log10Conc
ADH;ADHPool.[ADH]
ADHPool_Log10Conc;ADHPool.Log10Conc
AdrenalNerve_NA;AdrenalNerve.NA
AirSupplyInspiredAirPressure;AirSupply-InspiredAir.Pressure
Aldo_conc_in_nG_per_dl;AldoPool.[Aldo(nG/dL)]
AldoPool_Aldo;AldoPool.[Aldo(pMol/L)]
AlphaBlocade_Effect;AlphaBlockade.Effect
AlphaPool_Effect;AlphaPool.Effect
AlveolarVentilated_BloodFlow;LungBloodFlow.AlveolarVentilated
Anesthesia_VascularConductance;Anesthesia.VascularConductance
AnesthesiaTidalVolume;Anesthesia.TidalVolume
ANPPool_Log10Conc;ANPPool.Log10Conc
Artys_pH;BloodPh.ArtysPh
ArtysVol;ArtysVol.Vol
BarometerPressure;Barometer.Pressure
BetaBlocade_Effect;BetaBlockade.Effect
BetaPool_Effect;BetaPool.Effect
BladderVoidFlow;BladderVoidFlow
BladderVolume_Mass;BladderVolume.Mass
BloodCations;BloodIons.Cations
BloodIons_Cations;BloodIons.Cations
BloodIons_ProteinAnions;BloodIons.Protein
BloodPh_ArtysPh;BloodPh.ArtysPh
BloodVol_Hct;BloodVol.Hct
BloodVol_PVCrit;BloodVol.PVCrit
BodyH2O_Vol;BodyH2O.Vol
bone_BloodFlow;Bone-Flow.BloodFlow
Bone_BloodFlow;Bone-Flow.BloodFlow
bone_cLactate;Bone-Lactate.[Lac-(mEq/L)]
bone_CO2FromMetabolism;Bone-CO2.OutflowBase
Bone_Function_Failed;Bone-Function.Failed
bone_InterstitialWater;Bone-Size.IFV
bone_LactateFromMetabolism;Bone-Lactate.Outflux
Bone_LiquidVol;Bone-Size.LiquidVol
bone_O2Use;Bone-Flow.O2Use
Bone_PO2;Bone-Flow.PO2
Bone_StructureEffect;Bone-Structure.Effect
bone_T;HeatCore.Temp(C)
brain_BloodFlow;Brain-Flow.BloodFlow
Brain_BloodFlow;Brain-Flow.BloodFlow
brain_cLactate;Brain-Lactate.[Lac-(mEq/L)]
brain_CO2FromMetabolism;Brain-CO2.OutflowBase
Brain_Function_Failed;Brain-Function.Failed
brain_FunctionEffect;Brain-Function.Effect
brain_InterstitialWater;Brain-Size.IFV
brain_LactateFromMetabolism;Brain-Lactate.Outflux
Brain_LiquidVol;Brain-Size.LiquidVol
brain_O2Use;Brain-Flow.O2Use
Brain_PCO2;Brain-CO2.PCO2
brain_pH_intracellular;Brain-Ph.Ph
Brain_PO2;Brain-Flow.PO2
Brain_StructureEffect;Brain-Structure.Effect
brain_T;HeatCore.Temp(C)
BrainFuel_FractUseDelay;Brain-Fuel.FractUseDelay
BreathingTotalVentilation;Breathing.TotalVentilation
CardiacOutput;CardiacOutput.Flow
CarotidSinusArteryPressure;CarotidSinus.Pressure
CarotidSinusHeight;CarotidSinus.Level
CD_Glucose_Outflow;CD_Glucose.Outflow
CD_H2O_Outflow;CD_H2O.Outflow
CD_H2O_Reab;CD_H2O.Reab
CD_K_Outflow;CD_K.Outflow
CD_KA_Outflow;CD_KA.Outflow
CD_Na_Outflow;CD_Na.Outflow
CD_NH4_Outflow;CD_NH4.Outflow
CD_PO4_Outflow;CD_PO4.Outflow
cDPG;cDPG
CellH2O_Vol;CellH2O.Vol
CO2Veins_cHCO3;CO2Veins.[HCO3(mEq/L)]
core_T;HeatCore.Temp(C)
ctAlb;ctAlb
ctGlb;ctGlb
ctHb_ery;ctHb_ery
ctHb;ctHb
ctPO4;PO4Pool.[PO4--(mEq/L)]
DialyzerActivity_Cl_Flux;DialyzerActivity.Cl-Flux
DialyzerActivity_K_Flux;DialyzerActivity.K+Flux
DialyzerActivity_Na_Flux;DialyzerActivity.Na+Flux
DietGoalH2O_DegK;DietGoalH2O.DegK
DietIntakeElectrolytes_Cl;DietIntakeElectrolytes.Cl-_mEq/Min
DietIntakeElectrolytes_K;DietIntakeElectrolytes.K+_mEq/Min
DietIntakeElectrolytes_Na;DietIntakeElectrolytes.Na+_mEq/Min
DietIntakeElectrolytes_PO4;DietIntakeElectrolytes.PO4--mEq/Min
DietIntakeElectrolytes_SO4;DietIntakeElectrolytes.SO4--mEq/Min
DietIntakeH2O_Rate;DietIntakeH2O.Rate(mL/Min)
DietIntakeNutrition_Carbo;DietIntakeNutrition.Carbo_mG/Min
DietIntakeNutrition_Fat;DietIntakeNutrition.Fat_mG/Min
DietIntakeNutrition_Protein;DietIntakeNutrition.Protein_mG/Min
DT_AldosteroneEffect;DT_AldosteroneEffect
DT_Na_Outflow;DT_Na.Outflow
DT_Na_Reab;DT_Na.Reab
ECFV_Vol;ECFV.Vol
EpiPool_Epi;EpiPool.[Epi(pG/mL)]
EPOPool_Log10Conc;EPOPool.Log10Conc
ExcessLungWater_Volume;ExcessLungWater.Volume
Exercise_Metabolism_ContractionRate;Exercise-Metabolism.ContractionRate
Exercise_Metabolism_MotionWatts;Exercise-Metabolism.MotionWatts
Exercise_MusclePump_Effect;Exercise-MusclePump.Effect
ExerciseMetabolism_MotionCals;Exercise-Metabolism.MotionCals
ExerciseMetabolism_TotalWatts;Exercise-Metabolism.TotalWatts
fat_BloodFlow;Fat-Flow.BloodFlow
Fat_BloodFlow;Fat-Flow.BloodFlow
fat_cLactate;Fat-Lactate.[Lac-(mEq/L)]
fat_CO2FromMetabolism;Fat-CO2.OutflowBase
Fat_Function_Failed;Fat-Function.Failed
fat_InterstitialWater;Fat-Size.IFV
fat_LactateFromMetabolism;Fat-Lactate.Outflux
Fat_LiquidVol;Fat-Size.LiquidVol
fat_O2Use;Fat-Flow.O2Use
Fat_PO2;Fat-Flow.PO2
Fat_StructureEffect;Fat-Structure.Effect
fat_T;HeatCore.Temp(C)
FatFunctionEffect;Fat-Function.Effect
FHbF;FHbF
FMetHb;FMetHb
FurosemidePool_Furosemide_conc;FurosemidePool.[Furosemide]
FurosemidePool_Loss;FurosemidePool.Loss
Gravity_Gz;Gravity.Gz
GangliaGeneral_NA;GangliaGeneral.NA(Hz)
GangliaKidney_NA;GangliaKidney.NA(Hz)
GILumenDiarrhea_KLoss;GILumenDiarrhea.K+Loss
GILumenDiarrhea_NaLoss;GILumenDiarrhea.Na+Loss
GILumenPotassium_Mass;GILumenPotassium.Mass
GILumenSodium_Mass;GILumenSodium.Mass
GILumenVolume_Absorption;GILumenVolume.Absorption
GILumenVolume_Intake;GILumenVolume.Intake
GILumenVolume_Mass;GILumenVolume.Mass
GILumenVomitus_ClLoss;GILumenVomitus.Cl-Loss
GITract_BloodFlow;GITract-Flow.BloodFlow
GITract_cLactate;GITract-Lactate.[Lac-(mEq/L)]
GITract_CO2FromMetabolism;GITract-CO2.OutflowBase
GITract_Function_Failed;GITract-Function.Failed
GITract_InterstitialWater;GITract-Size.IFV
GITract_LactateFromMetabolism;GITract-Lactate.Outflux
GITract_LiquidVol;GITract-Size.LiquidVol
GITract_O2Use;GITract-Flow.O2Use
GITract_PO2;GITract-Flow.PO2
GITract_StructureEffect;GITract-Structure.Effect
GITract_T;HeatCore.Temp(C)
GITractFunctionEffect;GITract-Function.Effect
Glomerulus_GFR;GlomerulusFiltrate.GFR
GlomerulusBloodPressure;GlomerulusFiltrate.Pressure
GlomerulusFiltrate_GFR;GlomerulusFiltrate.GFR
Glucagon_conc;GlucagonPool.[Glucagon]
Glucose;GlucosePool.[Glucose(mG/dL)]
GlucoseECF_Osmoles;GlucosePool.Osmoles
HeartVentricleRate;Heart-Ventricles.Rate
HeatCore_Temp;HeatCore.Temp(C)
HeatInsensibleLung_H2O;HeatInsensibleLung.H2O
HeatInsensibleSkin_H2O;HeatInsensibleSkin.H2O
HeatShivering_Cals;HeatShivering.Cals
Hemorrhage_ClRate;Hemorrhage.ClRate
Hemorrhage_KRate;Hemorrhage.KRate
Hemorrhage_NaRate;Hemorrhage.NaRate
Hemorrhage_PlasmaRate;Hemorrhage.PlasmaRate
Hemorrhage_ProteinRate;Hemorrhage.ProteinRate
Hemorrhage_RBCRate;Hemorrhage.RBCRate
HepaticArty_BloodFlow;HepaticArty.Flow
HypothalamusShivering_NerveActivity;HypothalamusShivering.NerveActivity
HypothalamusSkinFlow_NervesActivity;HypothalamusSkinFlow.NerveActivity
HypothalamusTSH_TemperatureEffect;HypothalamusTSH.TemperatureEffect
ICFV_Vol;ICFV.Vol
Insulin;InsulinPool.[Insulin]
IVDrip_ClRate;IVDrip.ClRate
IVDrip_H2ORate;IVDrip.H2ORate
IVDrip_KRate;IVDrip.KRate
IVDrip_NaRate;IVDrip.NaRate
IVDrip_ProteinRate;IVDrip.ProteinRate
KA_Change;KAPool.Change
KA_Change_mmol_per_min;KAPool.Change[mMol/min]
KAPool_conc_per_liter;KAPool.[KA(mMol/L)]
KAPool_Osmoles;KAPool.Osmoles
KAPool;KAPool.[KA(mG/dL)]
KCell_conc;KCell.[K+(mEq/L)]
Kidney_Alpha_NA;Kidney-Alpha.NA
kidney_BloodFlow;Kidney-Flow.BloodFlow
Kidney_BloodFlow;Kidney-Flow.BloodFlow
kidney_cLactate;Kidney-Lactate.[Lac-(mEq/L)]
kidney_CO2FromMetabolism;Kidney-CO2.OutflowBase
Kidney_Function_Failed;Kidney-Function.Failed
kidney_InterstitialWater;Kidney-Size.IFV
kidney_LactateFromMetabolism;Kidney-Lactate.Outflux
Kidney_LiquidVol;Kidney-Size.LiquidVol
Kidney_NephronCount_Filtering_xNormal;Kidney-NephronCount.Filtering(xNormal)
Kidney_NephronCount_Total_xNormal;Kidney-NephronCount.Total(xNormal)
kidney_O2Use;Kidney-O2.O2Use
Kidney_PO2;Kidney-O2.VeinPO2
Kidney_StructureEffect;Kidney-Structure.Effect
kidney_T;HeatCore.Temp(C)
KidneyAlpha_PT_NA;Kidney-Alpha.PT_NA
KidneyFunction_Effect;Kidney-Function.Effect
KidneyFunctionEffect;Kidney-Function.Effect
KidneyO2_TubulePO2;Kidney-O2.TubulePO2
KidneyPlasmaFlow;Kidney-Flow.PlasmaFlow
KPool_per_liter;KPool.[K+(mEq/L)]
LacPool_Lac_mEq_per_litre;LacPool.[Lac-(mEq/L)]
LacPool_Mass_mEq;LacPool.Mass
LactateFromTissues;LacPool.Change
leftAtrium_TMP;LeftAtrium.TMP
LeftAtrium_TMP;LeftAtrium.TMP
leftHeart_BloodFlow;LeftHeart-Flow.BloodFlow
LeftHeart_BloodFlow;LeftHeart-Flow.BloodFlow
leftHeart_cLactate;LeftHeart-Lactate.[Lac-(mEq/L)]
leftHeart_CO2FromMetabolism;LeftHeart-CO2.OutflowBase
LeftHeart_Function_Failed;LeftHeart-Function.Failed
leftHeart_InterstitialWater;LeftHeart-Size.IFV
